Module|Field|Long Name|Units|Number of Axis|Time Axis|Missing Value|Min Value|Max Value|AXES LIST
sdyn|tem_ini|Temperature|K|3|F||||lev,ocy,ocx
sdyn|prs_ini|Surface Pressure|cbar|2|F||||ocy,ocx
sdyn|topo|Topography|m|2|F||||ocy,ocx
sdyn|dtadv|Temperature tendency (adv)|Ks-1|3|T||||lev,ocy,ocx
sdyn|dsphumadv|specific humidity tendency (advection)|kg/kg s-1|3|T||||lev,ocy,ocx
sdyn|dclwadv|cloud liquid water tendency (advection)|kg/kg s-1|3|T||||lev,ocy,ocx
sdyn|dttot|Temperature tendency (total)|Ks-1|3|T||||lev,ocy,ocx
sdyn|dsphumtot|specific humidity tendency (total)|kg/kg s-1|3|T||||lev,ocy,ocx
sdyn|dclwtot|cloud liquid water tendency (total)|kg/kg s-1|3|T||||lev,ocy,ocx
sdyn|dtdyn|Temperature tendency (dynamics)|Ks-1|3|T||||lev,ocy,ocx
sdyn|dsphumdyn|specific humidity tendency (dynamics)|kg/kg s-1|3|T||||lev,ocy,ocx
sdyn|dclwdyn|cloud liquid water tendency (dynamics)|kg/kg s-1|3|T||||lev,ocy,ocx
am_sfc|facsf|facsf|1|2|F||||ocy,ocx
am_sfc|facwf|facwf|1|2|F||||ocy,ocx
am_sfc|cd|noname|nounit|2|T||||ocy,ocx
am_sfc|cdq|noname|nounit|2|T||||ocy,ocx
am_sfc|rb|noname|nounit|2|T||||ocy,ocx
am_sfc|stress|noname|nounit|2|T||||ocy,ocx
am_sfc|ffmm|noname|nounit|2|T||||ocy,ocx
am_sfc|ffhh|noname|nounit|2|T||||ocy,ocx
am_sfc|uustar|noname|nounit|2|T||||ocy,ocx
am_sfc|wind|noname|nounit|2|T||||ocy,ocx
am_sfc|fm10|noname|nounit|2|T||||ocy,ocx
am_sfc|fh2|noname|nounit|2|T||||ocy,ocx
am_sfc|qss|noname|nounit|2|T||||ocy,ocx
am_sfc|cmm|noname|nounit|2|T||||ocy,ocx
am_sfc|chh|noname|nounit|2|T||||ocy,ocx
am_sfc|evap|noname|nounit|2|T||||ocy,ocx
am_sfc|hflx|noname|nounit|2|T||||ocy,ocx
am_sfc|vegtype|vegtype|1|2|T|  -99999.0000000000|||ocy,ocx
am_sfc|soiltype|soiltype|1|2|T|  -99999.0000000000|||ocy,ocx
